date,equity
2024-03-11,-3.447150218747164e-33
2024-03-12,-3.460911748899721e-33
2024-03-13,-3.478368125699396e-33
2024-03-14,-3.481975393528879e-33
2024-03-15,-3.485421952557219e-33
2024-03-17,-3.4892104546795715e-33
2024-03-18,-3.500575961046607e-33
2024-03-19,-3.499833682033952e-33
2024-03-20,-3.316988824725234e-33
2024-03-21,-3.367487461320735e-33
2024-03-22,-3.313743034744323e-33
2024-03-24,-3.317687966928539e-33
2024-03-25,-3.4022967737746393e-33
2024-03-26,-3.415114436393259e-33
2024-03-27,-3.42792464209296e-33
2024-03-28,-3.452741046971081e-33
2024-03-31,-3.424735036161353e-33
2024-04-01,-3.585041628334361e-33
2024-04-02,-3.579501844484616e-33
2024-04-03,-3.558037454421169e-33
2024-04-04,-3.541456053956738e-33
2024-04-05,-3.6482361710046815e-33
2024-04-07,-3.656031547438445e-33
2024-04-08,-3.657398127797193e-33
2024-04-09,-3.600860197961503e-33
2024-04-10,-3.806613354953983e-33
2024-04-11,-3.8122592254608876e-33
2024-04-12,-3.845037968458653e-33
2024-04-14,-3.842899334928189e-33
2024-04-15,-3.87228849161089e-33
2024-04-16,-3.846816866972835e-33
2024-04-17,-4.042408032591036e-33
2024-04-18,-4.0977523078170536e-33
2024-04-19,-4.100588633156345e-33
2024-04-21,-4.104882443243415e-33
2024-04-22,-4.079119582720966e-33
2024-04-23,-4.04430545116989e-33
2024-04-24,-4.061496972747654e-33
2024-04-25,-4.1450617175838634e-33
2024-04-26,-4.1493615741373817e-33
2024-04-28,-4.140761861030357e-33
2024-04-29,-4.1493363550373454e-33
2024-04-30,-4.211763682344831e-33
2024-05-01,-4.109062725420521e-33
2024-05-02,-4.0597046146046574e-33
2024-05-03,-4.001813543937254e-33
2024-05-05,-4.001813543937254e-33
2024-05-06,-4.018650233084482e-33
2024-05-07,-4.119881570771864e-33
2024-05-08,-4.1241070903316264e-33
2024-05-09,-4.1110701546327155e-33
2024-05-10,-4.149135619027464e-33
2024-05-12,-4.1449061229836074e-33
2024-05-13,-4.1449061229836074e-33
2024-05-14,-4.0901910471917336e-33
2024-05-15,-3.9546674390529396e-33
2024-05-16,-3.9666144244851336e-33
2024-05-17,-3.973465117650234e-33
2024-05-19,-3.981210663688532e-33
2024-05-20,-3.982004393922249e-33
2024-05-21,-3.987687151225901e-33
2024-05-22,-4.0029164135291874e-33
2024-05-23,-4.0160828532484986e-33
2024-05-24,-4.007532485686303e-33
2024-05-26,-4.019418144919349e-33
2024-05-27,-4.0068574632164755e-33
2024-05-28,-4.023274012823279e-33
2024-05-29,-4.042883322745364e-33
